"Faturamento por dia Tradiça  ","","","","","","","","","","","",""
"Data ","","","","99","","","","","","","",""
"Quarta 26/11","R$ 995,63","R$ 778,45","R$ 374,10","","R$ 2.148,18","","","","","","",""
"Quinta 27/11","R$ 1.054,26","R$ 656,56","R$ 925,25","","R$ 2.636,07","","","","","","",""
"Sexta 28/11","R$ 1.566,58","R$ 851,93","R$ 948,59","","R$ 3.367,10","","","","","","",""
"sabado 29/11","R$ 1.149,70","R$ 1.213,60","R$ 950,28","","R$ 3.313,58","","","","","","",""
"domingo 30/11","R$ 902,56","R$ 1.492,07","R$ 985,00","","R$ 3.379,63","","","","","","",""
"Terça 02/12","R$ 902,37","R$ 933,64","R$ 572,20","","R$ 2.408,21","","","","","","",""
"Quarta 03/12","R$ 1.294,71","R$ 797,37","R$ 468,22","","R$ 2.560,30","","","","","","",""
"Quinta 04/12","R$ 1.008,12","R$ 840,58","R$ 647,80","","R$ 2.496,50","","","","","","",""
"Sexta 05/12 ","R$ 1.677,61","R$ 1.275,33","R$ 990,30","","R$ 3.943,24","","","","","","",""
"sabado 06/12","R$ 1.512,50","R$ 1.570,66","R$ 983,90","","R$ 4.067,06","","","","","","",""
"domingo 07/12","R$ 509,33","R$ 1.712,31","R$ 1.187,00","","R$ 3.408,64","","","","","","",""
"Terça 09/12","R$ 399,74","R$ 857,50","R$ 675,03","","R$ 1.932,27","","","","","","",""
"Quarta 10/12","R$ 575,95","R$ 820,41","R$ 486,52","","R$ 1.882,88","","","","","","",""
"Quinta 11/12","R$ 1.003,14","R$ 550,10","R$ 391,50","","R$ 1.944,74","","","","","","",""
"Sexta 12/12","R$ 1.724,62","R$ 980,56","R$ 787,51","","R$ 3.492,69","","","","","","",""
"sabado 13/12","R$ 1.382,79","R$ 1.604,11","R$ 513,10","","R$ 3.500,00","","","","","","",""
"domingo 14/12","R$ 671,10","R$ 952,16","R$ 933,03","","R$ 2.556,29","","","","","","",""
"Terça 16/12","R$ 817,68","R$ 849,92","R$ 412,60","","R$ 2.080,20","","","","","","",""
"Quarta 17/12","R$ 897,50","R$ 952,25","R$ 495,00","","R$ 2.344,75","","","","","","",""
"Quinta 18/12","R$ 510,86","R$ 1.432,13","R$ 736,33","","R$ 2.679,32","","","","","","",""
"Sexta 19/12","R$ 1.448,54","R$ 2.427,28","R$ 630,31","","R$ 4.506,13","","","","","","",""
"sabado 20/12","R$ 1.618,57","R$ 1.550,87","R$ 1.149,60","","R$ 4.319,04","","","","","","",""
"domingo 21/12","R$ 1.204,11","R$ 2.023,87","R$ 932,83","","R$ 4.160,81","","","","","","",""
"Terça 23/12","R$ 938,53","R$ 1.525,39","R$ 649,80","","R$ 3.113,72","","","","","","",""
"Sexta 26/12","R$ 565,57","R$ 1.518,56","R$ 769,40","","R$ 2.853,53","","","","","","",""
"sabado 27/12","R$ 1.044,44","R$ 1.298,57","R$ 1.107,50","","R$ 3.450,51","","","","","","",""
"domingo 28/12","R$ 769,52","R$ 2.692,79","R$ 1.288,71","","R$ 4.751,02","","","","","","",""
"Terça 30/12 ","R$ 1.544,75","R$ 1.286,20","R$ 1.160,93","","R$ 3.991,88","","","","","","",""
"Quinta 01/01","R$ 757,95","R$ 6.624,75","R$ 2.245,80","","R$ 9.628,50","","","","","","",""
"Sexta 02/01","R$ 846,34","R$ 1.434,23","R$ 1.030,30","","R$ 3.310,87","","","","","","",""
"sabado 03/01","R$ 1.915,06","R$ 1.508,18","R$ 1.319,45","","R$ 4.742,69","","","","","","",""
"domingo 04/01","R$ 1.727,65","R$ 1.997,71","R$ 1.452,38","","R$ 5.177,74","","","","","","",""
"Terça 06/01","R$ 1.199,88","R$ 1.113,02","R$ 461,73","","R$ 2.774,63","","","","","","",""
"Qaurta 07/01","R$ 1.164,08","R$ 1.038,48","R$ 326,70","","R$ 2.529,26","","","","","","",""
"Quinta 08/01","R$ 1.150,67","R$ 752,65","R$ 790,20","","R$ 2.693,52","","","","","","",""
"Sexta 09/01","R$ 1.049,99","R$ 1.199,60","R$ 827,10","","R$ 3.076,69","","","","","","",""
"sabado 10/01","R$ 1.499,78","R$ 973,46","R$ 1.065,80","","R$ 3.539,04","","","","","","",""
"domingo 11/01","R$ 1.226,48","R$ 1.965,89","R$ 1.140,10","","R$ 4.332,47","","","","","","",""
"Terça 13/01 ","R$ 955,80","R$ 949,51","R$ 440,40","","R$ 2.345,71","","","","","","",""
"Quarta 14/01","R$ 702,19","R$ 887,82","R$ 732,30","","R$ 2.322,31","","","","","","",""
"Quinta 15/01","R$ 663,17","R$ 1.313,36","R$ 696,40","","R$ 2.672,93","","","","","","",""
"Sexta 16/01","R$ 836,13","R$ 1.469,04","R$ 893,90","","R$ 3.199,07","","","","","","",""
"sabado 17/01","R$ 1.156,42","R$ 1.552,02","R$ 1.250,20","","R$ 3.958,64","","","","","","",""
"domingo 18/01","R$ 634,12","R$ 1.622,60","R$ 1.442,03","","R$ 3.698,75","","","","","","",""
